Feature,Importance
num__patient_education_score,0.2122926712445341
num__followup_scheduled_flag,0.1703866701283599
num__chronic_conditions_count,0.09816089489518236
num__icu_admission_flag,0.09584139886835073
num__age,0.08194976582264085
num__length_of_stay_days,0.07837659909754363
num__high_risk_medication_flag,0.053434482788002585
num__previous_admissions_12m,0.049990499318513654
num__treatment_cost,0.01626171417219336
num__creatinine,0.01606981732620649
num__blood_glucose,0.015995747535026462
num__hemoglobin,0.015893900412248026
num__bmi,0.015397453521852593
num__cholesterol_level,0.015208154383376084
num__care_cluster_id,0.013363837065338013
num__medications_count,0.008510786316956027
num__number_of_procedures,0.006405150203649457
num__medication_changes_during_stay,0.0062502502082006925
num__hypertension_flag,0.0018828514130752696
num__emergency_admission_flag,0.0018442563798658988
cat__smoking_status_Current,0.0018413071557250252
cat__smoking_status_Former,0.0017790967708933986
num__diabetes_flag,0.001777411623042742
cat__insurance_type_Government,0.0017499688741094256
cat__insurance_type_Employer,0.001734527177885363
cat__insurance_type_Private,0.0017161632829284553
num__heart_disease_flag,0.0016946018610108555
cat__smoking_status_Never,0.001668846145141581
cat__gender_Female,0.0016654663025932282
cat__discharge_destination_Nursing Facility,0.0016567945404235486
cat__gender_Male,0.0016395237932880433
cat__discharge_destination_Other Hospital,0.0016307834959776244
cat__discharge_destination_Home,0.0016141836189321177
cat__discharge_destination_Rehabilitation,0.0016112257009377104
cat__insurance_type_Self-Pay,0.0015857002325090112
cat__insurance_type_PRIVATE,0.0005950513778133688
cat__insurance_type_private,0.0005224469456724129
